title,platform,metascore,userscore,genre,date
The Climb 2,PC,75.0,70.8,action,2021-03-04
Mail Mole,PlayStation 4,78.0,70.8,action,2021-03-04
Sir Lovelot,Switch,66.0,70.8,action,2021-03-03
PAKO Caravan,Switch,76.0,70.8,action,2021-03-02
Foregone,PC,73.0,57.0,action,2021-03-01
PixelJunk Raiders,Stadia,72.3,71.0,action,2021-03-01
Ghosts 'n Goblins Resurrection,Switch,75.0,68.0,action,2021-02-25
Yupitergrad,PlayStation 4,74.0,70.0,action,2021-02-25
Mighty Fight Federation,PlayStation 5,69.0,70.8,action,2021-02-25
Pumpkin Jack,PlayStation 4,76.0,71.0,action,2021-02-24
Thomas Was Alone,Switch,79.0,70.8,action,2021-02-19
PUSS!,PlayStation 4,68.0,70.8,action,2021-02-19
PUSS!,Xbox One,77.0,70.8,action,2021-02-19
PUSS!,Switch,64.0,70.8,action,2021-02-19
Effie,Xbox One,67.0,70.8,action,2021-02-19
Nerve,PC,67.0,70.8,action,2021-02-18
Speed Limit,Switch,68.0,70.8,action,2021-02-18
Natsuki Chronicles,PlayStation 4,80.0,70.8,action,2021-02-18
Anodyne 2: Return to Dust,PlayStation 5,75.0,70.8,action,2021-02-18
Anodyne 2: Return to Dust,Switch,77.0,70.8,action,2021-02-18
SNK vs. Capcom: Match of the Millennium,Switch,78.0,70.8,action,2021-02-17
Azur Lane: Crosswave,Switch,63.0,70.8,action,2021-02-16
Speed Limit,PlayStation 4,73.0,70.8,action,2021-02-16
Super Mario 3D World + Bowser's Fury,Switch,89.0,70.8,action,2021-02-12
Gal*Gun Returns,Switch,68.0,70.8,action,2021-02-12
UnderMine,Switch,83.0,70.8,action,2021-02-11
Blue Fire,Switch,71.0,74.0,action,2021-02-04
Blue Fire,PC,70.0,70.8,action,2021-02-04
Habroxia 2,Switch,71.0,70.8,action,2021-02-03
Habroxia 2,PlayStation 4,76.0,68.0,action,2021-02-03
Glyph,Switch,70.0,70.8,action,2021-02-01
Bonkies,PC,76.0,70.8,action,2021-01-29
Bonkies,Xbox One,76.0,70.8,action,2021-01-29
Bonkies,PlayStation 4,76.0,70.8,action,2021-01-29
The Pedestrian,PlayStation 5,83.0,71.0,action,2021-01-29
Olija,PC,77.0,61.0,action,2021-01-28
Olija,Switch,78.0,70.8,action,2021-01-28
Olija,PlayStation 4,78.0,70.8,action,2021-01-28
Colossus Down,Switch,59.0,70.8,action,2021-01-28
Olija,Xbox One,79.0,70.8,action,2021-01-28
Metal Unit,PC,64.0,70.8,action,2021-01-27
Cyber Shadow,PC,81.0,70.0,action,2021-01-26
Cyber Shadow,Switch,82.0,74.0,action,2021-01-26
Cyber Shadow,PlayStation 4,78.0,71.0,action,2021-01-26
Cyber Shadow,Xbox One,81.0,72.0,action,2021-01-26
Dead Cells: Fatal Falls,Switch,84.0,70.8,action,2021-01-26
Cyber Shadow,PlayStation 5,77.0,67.0,action,2021-01-26
Skul: The Hero Slayer,PC,80.0,66.0,action,2021-01-21
Tadpole Treble Encore,Switch,82.0,70.8,action,2021-01-21
WRITHE,Switch,60.0,70.8,action,2021-01-15
Scott Pilgrim vs. the World: The Game - Complete Edition,PlayStation 4,75.0,63.0,action,2021-01-14
Scott Pilgrim vs. the World: The Game - Complete Edition,Xbox One,78.0,67.0,action,2021-01-14
Scott Pilgrim vs. the World: The Game - Complete Edition,Switch,79.0,74.0,action,2021-01-14
Scott Pilgrim vs. the World: The Game - Complete Edition,PC,75.0,53.0,action,2021-01-14
Rhythm Fighter,Switch,72.0,70.8,action,2021-01-14
Windfolk: Sky is just the beginning,PlayStation 4,51.0,70.8,action,2021-01-13
Professor Lupo: Ocean,Switch,66.0,70.8,action,2020-12-28
The Hong Kong Massacre,Switch,56.0,70.8,action,2020-12-26
Omori,PC,87.0,70.8,action,2020-12-25
Bit.Trip Beat,Switch,73.0,70.8,action,2020-12-25
Bit.Trip Flux,Switch,80.0,70.8,action,2020-12-25
Bit.Trip Fate,Switch,66.0,70.8,action,2020-12-25
Bit.Trip Runner,Switch,78.0,70.8,action,2020-12-25
Bit.Trip Core,Switch,76.0,70.8,action,2020-12-25
Bit.Trip Void,Switch,74.0,70.8,action,2020-12-25
Super Meat Boy Forever,Switch,66.0,52.0,action,2020-12-23
Super Meat Boy Forever,PC,70.0,70.8,action,2020-12-23
Fatal Fury: First Contact,Switch,62.0,70.8,action,2020-12-23
Override 2: Super Mech League,PlayStation 4,52.0,70.8,action,2020-12-22
Override 2: Super Mech League,PC,61.0,70.8,action,2020-12-22
Override 2: Super Mech League,PlayStation 5,63.0,70.8,action,2020-12-22
Override 2: Super Mech League,Xbox Series X,58.0,70.8,action,2020-12-22
Traffix,Switch,82.0,70.8,action,2020-12-21
Double Dragon: Neon,Switch,76.0,70.8,action,2020-12-21
SYNTHETIK: Ultimate,Switch,71.0,70.8,action,2020-12-16
SYNTHETIK: Ultimate,Xbox One,72.0,70.8,action,2020-12-16
Colossus Down,Xbox One,71.0,70.8,action,2020-12-16
Gears 5: Hivebusters,Xbox One,82.0,70.8,action,2020-12-15
Gears 5: Hivebusters,Xbox Series X,82.0,70.8,action,2020-12-15
Football Manager 2021 Touch,Switch,73.0,70.8,action,2020-12-14
Space Invaders Forever,Switch,65.0,70.8,action,2020-12-11
Space Invaders Forever,PlayStation 4,67.0,70.8,action,2020-12-11
Morkredd,Xbox Series X,60.0,57.0,action,2020-12-10
Medal of Honor: Above and Beyond,PC,67.0,63.0,action,2020-12-10
PixelJunk Eden 2,Switch,78.0,70.8,action,2020-12-10
Morkredd,PC,73.0,70.8,action,2020-12-10
OctaFight,Switch,56.0,70.8,action,2020-12-10
Tanuki Justice,Switch,72.0,70.8,action,2020-12-10
Monster Sanctuary,PC,80.0,70.8,action,2020-12-08
DOOM Eternal,Switch,80.0,70.8,action,2020-12-08
Shoot 1UP DX,Xbox One,64.0,70.8,action,2020-12-04
Taiko no Tatsujin: Rhythmic Adventure Pack,Switch,70.0,58.0,action,2020-12-03
Wildfire,Switch,73.0,70.8,action,2020-12-03
Destropolis,Switch,67.0,70.8,action,2020-11-27
Landflix Odyssey,Xbox One,73.0,70.8,action,2020-11-27
